OBJECTID,Station_ID,Sample_Year,Waterbody_Name,Sample_Type,Fish_Species,Municipality,Subregional_Basin_Code,Sample_ID,Quantity,County,x,y
8636,14263,2010,Kahn Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BOZRAH,3900,142632010,20,New London,-72.1702,41.5681000000001
8645,14263,2014,Kahn Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BOZRAH,3900,142632014,15,New London,-72.1702,41.5681000000001
8648,14263,2019,Kahn Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BOZRAH,3900,142632019,7,New London,-72.1702,41.5681000000001
8659,14270,1989,Ketch Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",EAST WINDSOR,4207,142701989,4,Hartford,-72.5744,41.8797000000001
8671,14270,2010,Ketch Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",EAST WINDSOR,4207,142702010,9,Hartford,-72.5744,41.8797000000001
8703,14277,2004,Little River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SPRAGUE,3805,142772004,7,New London,-72.0581999999999,41.6393
8714,14277,2005,Little River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SPRAGUE,3805,142772005,4,New London,-72.0581999999999,41.6393
8747,14277,2012,Little River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SPRAGUE,3805,142772012,11,New London,-72.0581999999999,41.6393
8760,14277,2014,Little River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SPRAGUE,3805,142772014,3,New London,-72.0581999999999,41.6393
8802,14280,2011,Little River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",OXFORD,6920,142802011,1,New Haven,-73.0925999999999,41.4058000000001
8832,14281,2017,Lyman Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",MARLBOROUGH,4707,142812017,3,Hartford,-72.4263,41.6077000000001
8899,14284,1999,Mad River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",WATERBURY,6914,142841999,1,New Haven,-73.0384,41.5439000000001
8923,14286,1989,Mattabesset River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BERLIN,4600,142861989,3,Hartford,-72.7936999999999,41.6201
9088,14294,1993,Mill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",PLAINFIELD,3713,142941993,14,Windham,-71.9198,41.6643
9100,14294,2014,Mill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",PLAINFIELD,3713,142942014,13,Windham,-71.9198,41.6643
9122,14300,1990,Mill River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",HAMDEN,5302,143001990,6,New Haven,-72.9039999999999,41.4307000000001
9142,14300,1992,Mill River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",HAMDEN,5302,143001992,3,New Haven,-72.9039999999999,41.4307000000001
9158,14301,2007,Mill River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",HAMDEN,5302,143012007,5,New Haven,-72.8967,41.3828
9171,14303,2000,Muddy Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SUFFIELD,4101,143032000,3,Hartford,-72.6582,41.9838
9889,14349,2005,Nepaug River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NEW HARTFORD,4310,143492005,4,Litchfield,-72.9947,41.83
9900,14349,2012,Nepaug River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NEW HARTFORD,4310,143492012,6,Litchfield,-72.9947,41.83
9912,14349,2017,Nepaug River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NEW HARTFORD,4310,143492017,4,Litchfield,-72.9947,41.83
9924,14355,1991,Nonewaug River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",WOODBURY,6802,143551991,12,Litchfield,-73.2121999999999,41.5575000000001
9951,14355,2011,Nonewaug River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",WOODBURY,6802,143552011,2,Litchfield,-73.2121999999999,41.5575000000001
9967,14355,2016,Nonewaug River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",WOODBURY,6802,143552016,1,Litchfield,-73.2121999999999,41.5575000000001
9983,14355,2018,Nonewaug River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",WOODBURY,6802,143552018,1,Litchfield,-73.2121999999999,41.5575000000001
10023,14358,2011,Noroton River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",STAMFORD,7403,143582011,1,Fairfield,-73.5151999999999,41.0898
10131,14360,2011,Norwalk River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",RIDGEFIELD,7300,143602011,1,Fairfield,-73.4414,41.2675
10151,14360,2016,Norwalk River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",RIDGEFIELD,7300,143602016,3,Fairfield,-73.4414,41.2675
10332,14377,2009,Pattaconk Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",CHESTER,4017,143772009,2,Middlesex,-72.4650999999999,41.3991
